Dates;Index
01/01/1990;71,79
01/02/1990;67,43
01/03/1990;66,04
01/04/1990;69,08
01/05/1990;66,65
01/06/1990;63,63
01/07/1990;66,38
01/08/1990;64,18
01/09/1990;70,68
01/10/1990;70,83
01/11/1990;69,36
01/12/1990;59,85
01/01/1991;98,32
01/02/1991;99,7
01/03/1991;96,56
01/04/1991;95,04
01/05/1991;96,38
01/06/1991;100,46
01/07/1991;89,22
01/08/1991;87,26
01/09/1991;86,61
01/10/1991;85,74
01/11/1991;92,73
01/12/1991;87,97
01/01/1992;82,41
01/02/1992;82,88
01/03/1992;86,59
01/04/1992;79,14
01/05/1992;77,22
01/06/1992;76,03
01/07/1992;76,67
01/08/1992;75,75
01/09/1992;70,16
01/10/1992;72,82
01/11/1992;73,36
01/12/1992;74,94
01/01/1993;67,86
01/02/1993;67,22
01/03/1993;66,85
01/04/1993;68,49
01/05/1993;68,47
01/06/1993;70,28
01/07/1993;89,74
01/08/1993;88,63
01/09/1993;87,01
01/10/1993;73,93
01/11/1993;80,62
01/12/1993;86,69
01/01/1994;79,38
01/02/1994;77,13
01/03/1994;72,73
01/04/1994;77,6
01/05/1994;79,45
01/06/1994;82,88
01/07/1994;78,73
01/08/1994;87,3
01/09/1994;83,5
01/10/1994;85,25
01/11/1994;81,63
01/12/1994;84,65
01/01/1995;83,14
01/02/1995;85,13
01/03/1995;83,68
01/04/1995;83,15
01/05/1995;81,43
01/06/1995;83,95
01/07/1995;85,68
01/08/1995;84,34
01/09/1995;83,11
01/10/1995;81,08
01/11/1995;80,5
01/12/1995;65,81
01/01/1996;82,09
01/02/1996;86,65
01/03/1996;84,09
01/04/1996;83,83
01/05/1996;82,92
01/06/1996;87,05
01/07/1996;91,65
01/08/1996;84,67
01/09/1996;92,87
01/10/1996;93,89
01/11/1996;96,02
01/12/1996;91,64
01/01/1997;95,95
01/02/1997;89,2
01/03/1997;95,06
01/04/1997;103,04
01/05/1997;98,12
01/06/1997;97,32
01/07/1997;92,14
01/08/1997;96,87
01/09/1997;97,53
01/10/1997;97,58
01/11/1997;99,32
01/12/1997;104,89
01/01/1998;102,85
01/02/1998;102,46
01/03/1998;103,13
01/04/1998;100,48
01/05/1998;101,22
01/06/1998;96,74
01/07/1998;98,45
01/08/1998;95,73
01/09/1998;91,28
01/10/1998;104,61
01/11/1998;94,33
01/12/1998;92,74
01/01/1999;97,25
01/02/1999;95
01/03/1999;98,01
01/04/1999;96,74
01/05/1999;100,88
01/06/1999;97,24
01/07/1999;96,32
01/08/1999;98,64
01/09/1999;102,83
01/10/1999;103,77
01/11/1999;104,24
01/12/1999;99,75
01/01/2000;102,02
01/02/2000;105,7
01/03/2000;104,75
01/04/2000;106,34
01/05/2000;108,22
01/06/2000;110,63
01/07/2000;107,91
01/08/2000;108,09
01/09/2000;107,5
01/10/2000;103,12
01/11/2000;101,76
01/12/2000;112,23
01/01/2001;114,52
01/02/2001;108,74
01/03/2001;108,91
01/04/2001;110,88
01/05/2001;107,92
01/06/2001;108,52
01/07/2001;110,33
01/08/2001;106,12
01/09/2001;104,55
01/10/2001;102,94
01/11/2001;113,73
01/12/2001;97,06
01/01/2002;106,6
01/02/2002;109,73
01/03/2002;112,24
01/04/2002;115,73
01/05/2002;115,89
01/06/2002;114,27
01/07/2002;120,05
01/08/2002;115,83
01/09/2002;120,11
01/10/2002;115,86
01/11/2002;106,16
01/12/2002;112,34
01/01/2003;109,34
01/02/2003;111,34
01/03/2003;115,75
01/04/2003;112,42
01/05/2003;104,94
01/06/2003;106,34
01/07/2003;98,98
01/08/2003;93,05
01/09/2003;102,58
01/10/2003;109,81
01/11/2003;110,89
01/12/2003;108,08
01/01/2004;108,29
01/02/2004;108,07
01/03/2004;112,98
01/04/2004;109,36
01/05/2004;115,84
01/06/2004;116,99
01/07/2004;117,71
01/08/2004;115,83
01/09/2004;113,51
01/10/2004;114,92
01/11/2004;107,36
01/12/2004;119,33
01/01/2005;117,55
01/02/2005;114,95
01/03/2005;112,85
01/04/2005;113,81
01/05/2005;111,46
01/06/2005;113,97
01/07/2005;113,02
01/08/2005;115,27
01/09/2005;110,57
01/10/2005;111,88
01/11/2005;113,66
01/12/2005;116,76
01/01/2006;115,7
01/02/2006;112,96
01/03/2006;112,39
01/04/2006;111,68
01/05/2006;113,98
01/06/2006;113,94
01/07/2006;109,65
01/08/2006;107,1
01/09/2006;111,91
01/10/2006;108,25
01/11/2006;102,64
01/12/2006;102,66
01/01/2007;111,48
01/02/2007;111,01
01/03/2007;114,24
01/04/2007;112,56
01/05/2007;114,72
01/06/2007;108,62
01/07/2007;108,64
01/08/2007;109,43
01/09/2007;112,16
01/10/2007;111,09
01/11/2007;113,47
01/12/2007;113,23
01/01/2008;113,95
01/02/2008;115,35
01/03/2008;107,66
01/04/2008;113,65
01/05/2008;108,33
01/06/2008;106,28
01/07/2008;111,87
01/08/2008;113,55
01/09/2008;108,35
01/10/2008;113,46
01/11/2008;89,58
01/12/2008;69,66
01/01/2009;86,16
01/02/2009;86,22
01/03/2009;85,51
01/04/2009;81,22
01/05/2009;84
01/06/2009;88,32
01/07/2009;93,44
01/08/2009;98,54
01/09/2009;94,57
01/10/2009;92,85
01/11/2009;103,69
01/12/2009;89,68
01/01/2010;85,07
01/02/2010;94,74
01/03/2010;94,67
01/04/2010;95,11
01/05/2010;92,52
01/06/2010;90,19
01/07/2010;87,72
01/08/2010;90,85
01/09/2010;95,91
01/10/2010;94,87
01/11/2010;98,85
01/12/2010;97,4
01/01/2011;98,92
01/02/2011;103,03
01/03/2011;104,64
01/04/2011;105,28
01/05/2011;105,85
01/06/2011;114,71
01/07/2011;95,89
01/08/2011;99,61
01/09/2011;93,2
01/10/2011;100,04
01/11/2011;94,5
01/12/2011;96,48
01/01/2012;92,62
01/02/2012;91,18
01/03/2012;91,29
01/04/2012;95,44
01/05/2012;93,98
01/06/2012;96,4
01/07/2012;100,93
01/08/2012;93,38
01/09/2012;99,75
01/10/2012;94,71
01/11/2012;95,28
01/12/2012;93,91
01/01/2013;95,29
01/02/2013;99,53
01/03/2013;102,58
01/04/2013;99,07
01/05/2013;99,9
01/06/2013;101,07
01/07/2013;97,13
01/08/2013;99,27
01/09/2013;97,09
01/10/2013;99,27
01/11/2013;100,73
01/12/2013;101,4
01/01/2014;102,18
01/02/2014;100,39
01/03/2014;106,59
01/04/2014;102,97
01/05/2014;107,97
01/06/2014;104,87
01/07/2014;108,56
01/08/2014;116,42
01/09/2014;108,83
01/10/2014;104,6
01/11/2014;103,48
01/12/2014;103,21
01/01/2015;102,04
01/02/2015;98,07
01/03/2015;90,71
01/04/2015;100,03
01/05/2015;97,64
01/06/2015;103,04
01/07/2015;100,12
01/08/2015;99,42
01/09/2015;96,05
01/10/2015;98,98
01/11/2015;99,15
01/12/2015;100,3
01/01/2016;101,61
01/02/2016;102,11
01/03/2016;95,25
01/04/2016;96,16
01/05/2016;93,41
01/06/2016;93,85
01/07/2016;93,34
01/08/2016;99,13
01/09/2016;100,92
01/10/2016;103,01
01/11/2016;103,28
01/12/2016;101,77
01/01/2017;102,91
01/02/2017;102,23
01/03/2017;101,77
01/04/2017;102,71
01/05/2017;109,08
01/06/2017;108,19
01/07/2017;108,48
01/08/2017;105,57
01/09/2017;105,74
01/10/2017;106,04
01/11/2017;107,46
01/12/2017;106,28
01/01/2018;101,55
01/02/2018;102,56
01/03/2018;103,87
01/04/2018;101,43
01/05/2018;100,85
01/06/2018;100,74
01/07/2018;102,81
01/08/2018;102,26
01/09/2018;103,04
01/10/2018;96,42
01/11/2018;102,7
01/12/2018;104,44
01/01/2019;105,53
01/02/2019;96,52
01/03/2019;105,28
01/04/2019;111,37
01/05/2019;104,25
01/06/2019;104,28
01/07/2019;104,27
01/08/2019;101,79
01/09/2019;103,45
01/10/2019;100,84
01/11/2019;97,24
01/12/2019;94,17
01/01/2020;105,22
01/02/2020;106,78
01/03/2020;94,11
01/04/2020;79,39
01/05/2020;85,67
01/06/2020;86,04
01/07/2020;91,98
01/08/2020;87,16
01/09/2020;94,75
01/10/2020;102,01
01/11/2020;102,24
01/12/2020;98,52
01/01/2021;99,47
01/02/2021;92,81
01/03/2021;106,73
01/04/2021;107,53
01/05/2021;103,76
01/06/2021;103,95
01/07/2021;101,98
01/08/2021;100,61
01/09/2021;97,94
01/10/2021;93,28
01/11/2021;96,07
01/12/2021;95,86
01/01/2022;92,82
01/02/2022;94,54
01/03/2022;93,93
01/04/2022;89,69
01/05/2022;94,14
01/06/2022;93,8
01/07/2022;97,28
01/08/2022;94,21
01/09/2022;93,95
01/10/2022;90,82
01/11/2022;88,14
01/12/2022;88,23
01/01/2023;87,67
01/02/2023;90,63
01/03/2023;79,8
01/04/2023;83,36
01/05/2023;86,84
01/06/2023;84,1
01/07/2023;86,09
01/08/2023;89,39
01/09/2023;90,64
01/10/2023;90,3
01/11/2023;89,37
01/12/2023;91,84
01/01/2024;89,64
01/02/2024;93,08
01/03/2024;90,52
01/04/2024;89,28
01/05/2024;88,36
01/06/2024;92,39
01/07/2024;87,88
01/08/2024;89,09
01/09/2024;87,17
01/10/2024;99,97
01/11/2024;89,08
01/12/2024;86,38
01/01/2025;87,76
01/02/2025;84,82
