Dates;Index
01/02/25;84.82
01/01/25;87.76
01/12/24;86.38
01/11/24;89.08
01/10/24;99.97
01/09/24;87.17
01/08/24;89.09
01/07/24;87.88
01/06/24;92.39
01/05/24;88.36
01/04/24;89.28
01/03/24;90.52
01/02/24;93.08
01/01/24;89.64
01/12/23;91.84
01/11/23;89.37
01/10/23;90.3
01/09/23;90.64
01/08/23;89.39
01/07/23;86.09
01/06/23;84.1
01/05/23;86.84
01/04/23;83.36
01/03/23;79.8
01/02/23;90.63
01/01/23;87.67
01/12/22;88.23
01/11/22;88.14
01/10/22;90.82
01/09/22;93.95
01/08/22;94.21
01/07/22;97.28
01/06/22;93.8
01/05/22;94.14
01/04/22;89.69
01/03/22;93.93
01/02/22;94.54
01/01/22;92.82
01/12/21;95.86
01/11/21;96.07
01/10/21;93.28
01/09/21;97.94
01/08/21;100.61
01/07/21;101.98
01/06/21;103.95
01/05/21;103.76
01/04/21;107.53
01/03/21;106.73
01/02/21;92.81
01/01/21;99.47
01/12/20;98.52
01/11/20;102.24
01/10/20;102.01
01/09/20;94.75
01/08/20;87.16
01/07/20;91.98
01/06/20;86.04
01/05/20;85.67
01/04/20;79.39
01/03/20;94.11
01/02/20;106.78
01/01/20;105.22
01/12/19;94.17
01/11/19;97.24
01/10/19;100.84
01/09/19;103.45
01/08/19;101.79
01/07/19;104.27
01/06/19;104.28
01/05/19;104.25
01/04/19;111.37
01/03/19;105.28
01/02/19;96.52
01/01/19;105.53
01/12/18;104.44
01/11/18;102.7
01/10/18;96.42
01/09/18;103.04
01/08/18;102.26
01/07/18;102.81
01/06/18;100.74
01/05/18;100.85
01/04/18;101.43
01/03/18;103.87
01/02/18;102.56
01/01/18;101.55
01/12/17;106.28
01/11/17;107.46
01/10/17;106.04
01/09/17;105.74
01/08/17;105.57
01/07/17;108.48
01/06/17;108.19
01/05/17;109.08
01/04/17;102.71
01/03/17;101.77
01/02/17;102.23
01/01/17;102.91
01/12/16;101.77
01/11/16;103.28
01/10/16;103.01
01/09/16;100.92
01/08/16;99.13
01/07/16;93.34
01/06/16;93.85
01/05/16;93.41
01/04/16;96.16
01/03/16;95.25
01/02/16;102.11
01/01/16;101.61
01/12/15;100.3
01/11/15;99.15
01/10/15;98.98
01/09/15;96.05
01/08/15;99.42
01/07/15;100.12
01/06/15;103.04
01/05/15;97.64
01/04/15;100.03
01/03/15;90.71
01/02/15;98.07
01/01/15;102.04
01/12/14;103.21
01/11/14;103.48
01/10/14;104.6
01/09/14;108.83
01/08/14;116.42
01/07/14;108.56
01/06/14;104.87
01/05/14;107.97
01/04/14;102.97
01/03/14;106.59
01/02/14;100.39
01/01/14;102.18
01/12/13;101.4
01/11/13;100.73
01/10/13;99.27
01/09/13;97.09
01/08/13;99.27
01/07/13;97.13
01/06/13;101.07
01/05/13;99.9
01/04/13;99.07
01/03/13;102.58
01/02/13;99.53
01/01/13;95.29
01/12/12;93.91
01/11/12;95.28
01/10/12;94.71
01/09/12;99.75
01/08/12;93.38
01/07/12;100.93
01/06/12;96.4
01/05/12;93.98
01/04/12;95.44
01/03/12;91.29
01/02/12;91.18
01/01/12;92.62
01/12/11;96.48
01/11/11;94.5
01/10/11;100.04
01/09/11;93.2
01/08/11;99.61
01/07/11;95.89
01/06/11;114.71
01/05/11;105.85
01/04/11;105.28
01/03/11;104.64
01/02/11;103.03
01/01/11;98.92
01/12/10;97.4
01/11/10;98.85
01/10/10;94.87
01/09/10;95.91
01/08/10;90.85
01/07/10;87.72
01/06/10;90.19
01/05/10;92.52
01/04/10;95.11
01/03/10;94.67
01/02/10;94.74
01/01/10;85.07
01/12/09;89.68
01/11/09;103.69
01/10/09;92.85
01/09/09;94.57
01/08/09;98.54
01/07/09;93.44
01/06/09;88.32
01/05/09;84.0
01/04/09;81.22
01/03/09;85.51
01/02/09;86.22
01/01/09;86.16
01/12/08;69.66
01/11/08;89.58
01/10/08;113.46
01/09/08;108.35
01/08/08;113.55
01/07/08;111.87
01/06/08;106.28
01/05/08;108.33
01/04/08;113.65
01/03/08;107.66
01/02/08;115.35
01/01/08;113.95
01/12/07;113.23
01/11/07;113.47
01/10/07;111.09
01/09/07;112.16
01/08/07;109.43
01/07/07;108.64
01/06/07;108.62
01/05/07;114.72
01/04/07;112.56
01/03/07;114.24
01/02/07;111.01
01/01/07;111.48
01/12/06;102.66
01/11/06;102.64
01/10/06;108.25
01/09/06;111.91
01/08/06;107.1
01/07/06;109.65
01/06/06;113.94
01/05/06;113.98
01/04/06;111.68
01/03/06;112.39
01/02/06;112.96
01/01/06;115.7
01/12/05;116.76
01/11/05;113.66
01/10/05;111.88
01/09/05;110.57
01/08/05;115.27
01/07/05;113.02
01/06/05;113.97
01/05/05;111.46
01/04/05;113.81
01/03/05;112.85
01/02/05;114.95
01/01/05;117.55
01/12/04;119.33
01/11/04;107.36
01/10/04;114.92
01/09/04;113.51
01/08/04;115.83
01/07/04;117.71
01/06/04;116.99
01/05/04;115.84
01/04/04;109.36
01/03/04;112.98
01/02/04;108.07
01/01/04;108.29
01/12/03;108.08
01/11/03;110.89
01/10/03;109.81
01/09/03;102.58
01/08/03;93.05
01/07/03;98.98
01/06/03;106.34
01/05/03;104.94
01/04/03;112.42
01/03/03;115.75
01/02/03;111.34
01/01/03;109.34
01/12/02;112.34
01/11/02;106.16
01/10/02;115.86
01/09/02;120.11
01/08/02;115.83
01/07/02;120.05
01/06/02;114.27
01/05/02;115.89
01/04/02;115.73
01/03/02;112.24
01/02/02;109.73
01/01/02;106.6
01/12/01;97.06
01/11/01;113.73
01/10/01;102.94
01/09/01;104.55
01/08/01;106.12
01/07/01;110.33
01/06/01;108.52
01/05/01;107.92
01/04/01;110.88
01/03/01;108.91
01/02/01;108.74
01/01/01;114.52
01/12/00;112.23
01/11/00;101.76
01/10/00;103.12
01/09/00;107.5
01/08/00;108.09
01/07/00;107.91
01/06/00;110.63
01/05/00;108.22
01/04/00;106.34
01/03/00;104.75
01/02/00;105.7
01/01/00;102.02
01/12/99;99.75
01/11/99;104.24
01/10/99;103.77
01/09/99;102.83
01/08/99;98.64
01/07/99;96.32
01/06/99;97.24
01/05/99;100.88
01/04/99;96.74
01/03/99;98.01
01/02/99;95.0
01/01/99;97.25
01/12/98;92.74
01/11/98;94.33
01/10/98;104.61
01/09/98;91.28
01/08/98;95.73
01/07/98;98.45
01/06/98;96.74
01/05/98;101.22
01/04/98;100.48
01/03/98;103.13
01/02/98;102.46
01/01/98;102.85
01/12/97;104.89
01/11/97;99.32
01/10/97;97.58
01/09/97;97.53
01/08/97;96.87
01/07/97;92.14
01/06/97;97.32
01/05/97;98.12
01/04/97;103.04
01/03/97;95.06
01/02/97;89.2
01/01/97;95.95
01/12/96;91.64
01/11/96;96.02
01/10/96;93.89
01/09/96;92.87
01/08/96;84.67
01/07/96;91.65
01/06/96;87.05
01/05/96;82.92
01/04/96;83.83
01/03/96;84.09
01/02/96;86.65
01/01/96;82.09
01/12/95;65.81
01/11/95;80.5
01/10/95;81.08
01/09/95;83.11
01/08/95;84.34
01/07/95;85.68
01/06/95;83.95
01/05/95;81.43
01/04/95;83.15
01/03/95;83.68
01/02/95;85.13
01/01/95;83.14
01/12/94;84.65
01/11/94;81.63
01/10/94;85.25
01/09/94;83.5
01/08/94;87.3
01/07/94;78.73
01/06/94;82.88
01/05/94;79.45
01/04/94;77.6
01/03/94;72.73
01/02/94;77.13
01/01/94;79.38
01/12/93;86.69
01/11/93;80.62
01/10/93;73.93
01/09/93;87.01
01/08/93;88.63
01/07/93;89.74
01/06/93;70.28
01/05/93;68.47
01/04/93;68.49
01/03/93;66.85
01/02/93;67.22
01/01/93;67.86
01/12/92;74.94
01/11/92;73.36
01/10/92;72.82
01/09/92;70.16
01/08/92;75.75
01/07/92;76.67
01/06/92;76.03
01/05/92;77.22
01/04/92;79.14
01/03/92;86.59
01/02/92;82.88
01/01/92;82.41
01/12/91;87.97
01/11/91;92.73
01/10/91;85.74
01/09/91;86.61
01/08/91;87.26
01/07/91;89.22
01/06/91;100.46
01/05/91;96.38
01/04/91;95.04
01/03/91;96.56
01/02/91;99.7
01/01/91;98.32
01/12/90;59.85
01/11/90;69.36
01/10/90;70.83
01/09/90;70.68
01/08/90;64.18
01/07/90;66.38
01/06/90;63.63
01/05/90;66.65
01/04/90;69.08
01/03/90;66.04
01/02/90;67.43
01/01/90;71.79
